id	university	country_iso_num_code	wikipedia_url	established_year	page_id	namespace	title	is_redirect	is_new	touched	links_updated	latest	len	content_model	page_edits	creation	editors	views	references
1015	Koç Univ	792.0	Koç_University	1993.0	2239524	0	Koç_University	0	0	20210630074744	20210630074958.0	1018598750	24994	wikitext	432.0	2005-07-15	234.0	9530.0	45.0
1016	Başkent Univ	792.0	Başkent_University	1994.0	11321206	0	Başkent_University	0	0	20210626183829	20210626214035.0	1027973113	5350	wikitext	85.0	2007-05-20	51.0	2228.0	
1033	Eskişehir Osmangazi Univ	792.0	Eskişehir_Osmangazi_University	1993.0	10491294	0	Eskişehir_Osmangazi_University	0	0	20210626183726	20210627044033.0	1016210157	2230	wikitext	291.0	2007-04-06	94.0	1343.0	
1034	Queen Mary Univ London	826.0	Queen_Mary,_University_of_London		422461	0	Queen_Mary_University_of_London	0	0	20210630143700	20210630144546.0	1031241011	82024	wikitext	2233.0	2004-01-06	845.0	33134.0	107.0
1037	London Sch Econ & Polit Sci	826.0	London_School_of_Economics	1895.0	67704	0	London_School_of_Economics	0	0	20210628152026	20210628152611.0	1030885796	130840	wikitext	6152.0	2002-08-04	2394.0	113996.0	191.0
1046	Technion - Israel Inst Technol	376.0	Technion_-_Israel_Institute_of_Technology		161784	0	Technion_–_Israel_Institute_of_Technology	0	0	20210630041419	20210630041926.0	1025644254	54116	wikitext	1131.0	2002-12-26	524.0	17283.0	67.0
1047	Weizmann Inst Sci	376.0	Weizmann_Institute_of_Science	1934.0	428545	0	Weizmann_Institute_of_Science	0	0	20210630041419	20210630041821.0	1029248214	16822	wikitext	679.0	2004-01-12	273.0	13574.0	11.0
1052	Univ Buenos Aires	32.0	University_of_Buenos_Aires	1821.0	477714	0	University_of_Buenos_Aires	0	0	20210626212142	20210626222513.0	1025880263	29260	wikitext	646.0	2004-02-20	367.0	9814.0	31.0
1053	Univ Nal La Plata	32.0	National_University_of_La_Plata	1897.0	2736758	0	National_University_of_La_Plata	0	0	20210626182158	20210625170306.0	1022642876	29543	wikitext	299.0	2005-09-23	147.0	1928.0	
1054	Univ Adelaide	36.0	University_of_Adelaide	1874.0	206748	0	University_of_Adelaide	0	0	20210626180820	20210623122139.0	1029164740	56277	wikitext	1108.0	2003-04-07	461.0	12803.0	37.0
1055	Univ Queensland	36.0	University_of_Queensland	1909.0	192819	0	University_of_Queensland	0	0	20210629004224	20210629004328.0	1030240571	105597	wikitext	3151.0	2003-03-07	993.0	22376.0	125.0
1056	Australian Natl Univ	36.0	Australian_National_University	1946.0	285106	0	Australian_National_University	0	0	20210629135720	20210629140506.0	1029268029	61115	wikitext	2062.0	2003-07-31	849.0	25448.0	84.0
1057	Monash Univ	36.0	Monash_University	1958.0	149620	0	Monash_University	0	0	20210626180747	20210626011108.0	1027319957	74765	wikitext	2335.0	2002-11-21	1017.0	36091.0	97.0
1058	Univ Melbourne	36.0	University_of_Melbourne	1853.0	363594	0	University_of_Melbourne	0	0	20210701074932	20210701075251.0	1030691383	112987	wikitext	2477.0	2001-09-21	1046.0	34765.0	165.0
1059	Univ Newcastle	36.0	University_of_Newcastle,_Australia		347733	0	University_of_Newcastle_(Australia)	0	0	20210701001144	20210701001445.0	1031211882	42075	wikitext	1139.0	2003-10-23	408.0	7268.0	47.0
1060	Univ West Australia	36.0	University_of_Western_Australia	1911.0	231031	0	University_of_Western_Australia	0	0	20210626180833	20210623122206.0	1020123191	38744	wikitext	1146.0	2003-05-21	516.0	12396.0	39.0
1061	Univ New S Wales	36.0	University_of_New_South_Wales	1949.0	146078	0	University_of_New_South_Wales	0	0	20210626180744	20210625143433.0	1030371586	63352	wikitext	1936.0	2002-11-11	825.0	30610.0	68.0
1062	Univ Sydney	36.0	University_of_Sydney	1850.0	31928	0	University_of_Sydney	0	0	20210630045247	20210630045403.0	1030949913	79947	wikitext	2780.0	2001-08-21	1037.0	40993.0	83.0
1063	Univ Fed Minas Gerais	76.0	Universidade_Federal_de_Minas_Gerais	1927.0	383952	0	Federal_University_of_Minas_Gerais	0	0	20210628233840	20210628233951.0	1030952669	50169	wikitext	448.0	2003-11-30	206.0	2080.0	9.0
1064	Univ Campinas	76.0	UNICAMP		514199	0	University_of_Campinas	0	0	20210626181025	20210623131724.0	1025754177	77779	wikitext	575.0	2002-07-22	223.0	3481.0	120.0
1065	Fed Univ Rio Grande do Sul	76.0	Universidade_Federal_do_Rio_Grande_do_Sul	1895.0	889448	0	Federal_University_of_Rio_Grande_do_Sul	0	0	20210626212144	20210626213216.0	1030547452	19539	wikitext	435.0	2004-08-10	167.0	1902.0	12.0
