watchers	created_at	assessment	author	editors	revisions	words	unique_references	url	minor_edits	characters	sections	references
0	2011-07-13	Başlangıç	Alphagut	30	52	302	0	https://tr.wikipedia.org/wiki/Ulusal_Nükleer_Araştırmalar_Üniversitesi	25	2562	3	0
0	2011-07-30		Brateevsky	17	27	156	3	https://uk.wikipedia.org/wiki/Національний_дослідницький_ядерний_університет_«МІФІ»	13	2370	7	3
0	2008-02-26	Stub	Aimk07~enwiki	82	165	765	11	https://en.wikipedia.org/wiki/King_Khalid_University	27	5041	13	17
0	2006-04-26	بداية	213.121.151.210	230	563	809	13	https://ar.wikipedia.org/wiki/جامعة_الملك_خالد	95	9718	15	14
0	2021-11-01		HitomiAkane	2	3	29	1	https://arz.wikipedia.org/wiki/جامعة_الملك_خالد	2	273	4	1
0	2013-10-23		Imam Khairul Annas	4	6	131	45	https://id.wikipedia.org/wiki/Universitas_Raja_Khalid	1	954	5	45
0	2018-09-10		Isko1901	2	4	140	0	https://tl.wikipedia.org/wiki/Pamantasang_Haring_Khalid	1	1013	0	0
60	2007-06-06	Start	Jawadas	354	748	2022	54	https://en.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology	189	13748	23	65
32	2007-04-25	بداية	212.24.224.16	146	316	1734	33	https://ar.wikipedia.org/wiki/جامعة_الملك_عبد_الله_للعلوم_والتقنية	126	20203	29	38
0	2021-11-01		HitomiAkane	2	3	49	3	https://arz.wikipedia.org/wiki/جامعة_الملك_عبد_الله_للعلوم_والتقنيه	2	490	5	3
0	2012-07-29		Diyar se	10	12	17	0	https://ckb.wikipedia.org/wiki/زانکۆی_شا_عەبدوڵڵا_بۆ_زانست_و_تەکنەلۆجیا	6	215	3	0
0	2009-09-24		Sumivec	20	28	92	1	https://cs.wikipedia.org/wiki/Technická_a_přírodovědecká_univerzita_krále_Abdalláha	21	676	3	1
0	2009-09-26		Kirschblut	53	78	321	9	https://de.wikipedia.org/wiki/König-Abdullah-Universität_für_Wissenschaft_und_Technologie	34	2651	6	12
0	2022-02-10		Projethomere	1	1	377	9	https://el.wikipedia.org/wiki/Πανεπιστήμιο_Επιστήμης_και_Τεχνολογίας_του_Βασιλιά_Αμπντουλάχ	0	4701	5	10
0	2013-01-25		Fadesga	22	36	272	4	https://es.wikipedia.org/wiki/Universidad_de_Ciencia_y_Tecnología_Rey_Abdalá	16	1800	1	6
0	2019-07-16		Estopedist1	2	2	33	0	https://et.wikipedia.org/wiki/Kuningas_Abdullahi_Teadus-_ja_Tehnikaülikool	1	273	2	0
0	2009-09-23		سندباد	24	45	148	5	https://fa.wikipedia.org/wiki/دانشگاه_علم_و_صنعت_ملک_عبدالله	37	1516	1	5
0	2018-06-18		Paju	4	10	155	7	https://fi.wikipedia.org/wiki/Kuningas_Abdullahin_tiede-_ja_teknologiayliopisto	2	1491	2	10
0	2007-08-20	???	Nico normand	49	83	963	19	https://fr.wikipedia.org/wiki/Université_des_sciences_et_technologies_du_roi_Abdallah	44	6626	16	23
0	2013-11-25		Oyoyoy	16	33	363	1	https://he.wikipedia.org/wiki/אוניברסיטת_המלך_עבדאללה_למדע_וטכנולוגיה	22	4254	6	1
0	2013-10-22		Imam Khairul Annas	3	5	228	2	https://id.wikipedia.org/wiki/Universitas_Raja_Abdullah_untuk_Sains_dan_Teknologi	1	1674	3	2
