id	University	university
646	University of Lleida	Univ Lleida
648	Universidad Autónoma de Madrid	Univ Aut Madrid
649	Complutense University of Madrid	Complutense Univ Madrid
650	National Distance Education University	Natl Distance Educ Univ
651	Technical University of Madrid	Tech Univ Madrid
654	University of Malaga	Univ Malaga
655	Rey Juan Carlos University	Rey Juan Carlos Univ
656	University of Murcia	Univ Murcia
657	University of Oviedo	Univ Oviedo
658	University of the Balearic Islands	Univ Balearic Islands
659	University of Navarra	Univ Navarra
662	University of Salamanca	Univ Salamanca
663	University of Cantabria	Univ Cantabria
664	University of Santiago de Compostela	Univ Santiago Compostela
665	University of Seville	Univ Seville
666	Universitat Rovira i Virgili	Univ Rovira & Virgili
667	Universitat Politècnica de València	Univ Politècnica València
668	University of Valencia	Univ Valencia
669	University of Valladolid	Univ Valladolid
670	Universidade de Vigo	Univ Vigo
671	University of Zaragoza	Univ Zaragoza
672	Chalmers University of Technology	Chalmers Univ Technol
673	University of Gothenburg	Univ Gothenburg
677	Linköping University	Linköping Univ
678	Luleå University of Technology	Luleå Univ Technol
679	Lund University	Lund Univ
682	Örebro University	Örebro Univ
684	Karolinska Institutet	Karolinska Inst
685	KTH Royal Institute of Technology	KTH Royal Inst Technol
687	Stockholm University	Stockholm Univ
688	Umeå University	Umeå Univ
689	Uppsala University	Uppsala Univ
690	University of Basel	Univ Basel
693	University of Bern	Univ Bern
695	University of Fribourg	Univ Fribourg
696	University of Geneva	Univ Geneva
697	Ecole Polytechnique Fédérale de Lausanne	Ecole Polytech Féd Lausanne
698	University of Lausanne	Univ Lausanne
703	Eidgenössische Technische Hochschule Zürich	ETH Zurich
704	University of Zurich	Univ Zurich
705	Çukurova University	Çukurova Univ
706	Sakarya University	Sakarya Univ
707	Ankara University	Ankara Univ
708	Bilkent University	Bilkent Univ
710	Gazi University	Gazi Univ
711	Hacettepe University	Hacettepe Univ
712	Middle East Technical University	Middle E Tech Univ
715	Akdeniz University	Akdeniz Univ
718	Bursa Uludağ University	Bursa Uludağ Univ
719	Pamukkale University	Pamukkale Univ
722	Fırat University	Fırat Univ
723	Atatürk University	Atatürk Univ
726	Süleyman Demirel University	Süleyman Demirel Univ
727	Boğaziçi University	Boğaziçi Univ
730	İstanbul Technical University	İstanbul Tech Univ
731	İstanbul University	İstanbul Univ
732	Marmara University	Marmara Univ
735	Yıldız Technical University	Yıldız Tech Univ
736	Dokuz Eylül University	Dokuz Eylül Univ
737	Ege University	Ege Univ
739	Selçuk University	Selçuk Univ
740	Erciyes University	Erciyes Univ
741	Kocaeli University	Kocaeli Univ
743	İnönü University	İnönü Univ
747	Samsun Ondokuz Mayis University	Samsun Ondokuz Mayis Univ
749	Karadeniz Technical University	Karadeniz Tech Univ
750	Yüzüncü Yıl University	Yüzüncü Yıl Univ
781	Queen's University Belfast	Queen's Univ Belfast
785	University of Sussex	Univ Sussex
790	Aston University	Aston Univ
793	University of Huddersfield	Univ Huddersfield
794	Lancaster University	Lancaster Univ
796	Northumbria University	Northumbria Univ
797	University of East Anglia	Univ E Anglia
800	University of Reading	Univ Reading
802	University of St Andrews	Univ St Andrews
807	Politecnico di Bari	Politecnico Bari
811	University of Insubria	Univ Insubria
812	University of Perugia	Univ Perugia
813	University of Salerno	Univ Salerno
818	Vita-Salute San Raffaele University	Vita-Salute San Raffaele Univ
846	King's College London	King's Coll London
848	Bangor University	Bangor Univ
849	Cardiff University	Cardiff Univ
854	Swedish University of Agricultural Sciences	Swed Univ Agr Sci
876	Martin Luther University Halle-Wittenberg	Martin Luther Univ Halle-Wittenberg
877	University of Hohenheim	Univ Hohenheim
878	Universität zu Lübeck	Univ Lübeck
880	Philipps-Universität Marburg	Philipps-Univ Marburg
882	Technische Universität Bergakademie Freiberg	Techn Univ Bergakad Freiberg
883	University of Münster	Univ Münster
884	University of Rostock	Univ Rostock
885	Ulm University	Ulm Univ
916	The Hebrew University of Jerusalem	Hebrew Univ Jerusalem
920	Bar-Ilan University	Bar-Ilan Univ
921	Tel Aviv University	Tel Aviv Univ
922	Ben-Gurion University of the Negev	Ben-Gurion Univ Negev
924	University of Haifa	Univ Haifa
947	Medical University of Białystok	Med Univ Białystok
958	Medical University of Lublin	Med Univ Lublin
959	Medical University of Łódź	Med Univ Lódz
960	Medical University of Gdańsk	Med Univ Gdansk
962	University of Agriculture in Kraków	Univ Agr Kraków
963	University of Life Sciences in Lublin	Univ Life Sci Lublin
964	Poznań University of Life Sciences	Poznań Univ Life Sci
975	West Pomeranian University of Technology, Szczecin	W Pomeranian Univ Technol - Szczecin
989	Carlos III University of Madrid	Carlos III Univ Madrid
998	Miguel Hernández University	Miguel Hernández Univ
1002	Universidad de Almería	Univ Almería
1003	Universitat Jaume I	Univ Jaume I
1014	Anadolu University	Anadolu Univ
1015	Koç University	Koç Univ
1016	Başkent University	Başkent Univ
1033	Eskişehir Osmangazi University	Eskişehir Osmangazi Univ
1034	Queen Mary University of London	Queen Mary Univ London
1037	London School of Economics and Political Science	London Sch Econ & Polit Sci
1046	Technion, Israel Institute of Technology	Technion - Israel Inst Technol
1047	Weizmann Institute of Science	Weizmann Inst Sci
1052	University of Buenos Aires	Univ Buenos Aires
1053	Universidad Nacional de La Plata	Univ Nal La Plata
1054	University of Adelaide	Univ Adelaide
1055	University of Queensland	Univ Queensland
1056	Australian National University	Australian Natl Univ
1057	Monash University	Monash Univ
1058	University of Melbourne	Univ Melbourne
1059	University of Newcastle	Univ Newcastle
1060	University of Western Australia	Univ West Australia
1061	University of New South Wales	Univ New S Wales
1062	University of Sydney	Univ Sydney
1063	Universidade Federal de Minas Gerais	Univ Fed Minas Gerais
1064	University of Campinas	Univ Campinas
1065	Federal University of Rio Grande do Sul	Fed Univ Rio Grande do Sul
1066	Universidade Federal do Rio de Janeiro	Univ Fed Rio de Janeiro
1067	University of São Paulo	Univ São Paulo
1068	Simon Fraser University	Simon Fraser Univ
1069	University of Calgary	Univ Calgary
1070	University of Alberta	Univ Alberta
1071	University of Guelph	Univ Guelph
1072	Dalhousie University	Dalhousie Univ
1073	McMaster University	McMaster Univ
1074	Queen's University	Queen's Univ
1075	Western University	West Univ
1076	McGill University	McGill Univ
1077	Université de Montréal	Univ Montréal
1078	Carleton University	Carleton Univ
1079	University of Ottawa	Univ Ottawa
1081	University of Saskatchewan	Univ Saskatchewan
1082	Université Laval	Univ Laval
1083	University of Toronto	Univ Toronto
1084	University of British Columbia	Univ British Columbia
1085	University of Victoria	Univ Victoria
1086	University of Waterloo	Univ Waterloo
1087	University of Manitoba	Univ Manitoba
1088	University of Chile	Univ Chile
1091	Chiba University	Chiba Univ
1092	Kyushu University	Kyushu Univ
1093	Gifu University	Gifu Univ
1095	Hiroshima University	Hiroshima Univ
1096	Kagoshima University	Kagoshima Univ
1097	Kanazawa University	Kanazawa Univ
1098	Kobe University	Kobe Univ
1099	Kumamoto University	Kumamoto Univ
1100	Kyoto University	Kyoto Univ
1101	Nagasaki University	Nagasaki Univ
1102	Nagoya University	Nagoya Univ
1103	Niigata University	Niigata Univ
1104	Okayama University	Okayama Univ
1105	Osaka City University	Osaka City Univ
1106	Osaka University	Osaka Univ
1107	Hokkaido University	Hokkaido Univ
1108	Tohoku University	Tohoku Univ
1110	Tokushima University	Tokushima Univ
1111	Keio University	Keio Univ
1112	Tokyo Institute of Technology	Tokyo Inst Technol
1113	Tokyo Medical and Dental University	Tokyo Med & Dent Univ
1114	The University of Tokyo	Univ Tokyo
1115	Waseda University	Waseda Univ
1117	Mie University	Mie Univ
1118	University of Tsukuba	Univ Tsukuba
1121	National Autonomous University of Mexico	Natl Auto Univ Mexico
1122	University of Auckland	Univ Auckland
1123	University of Otago	Univ Otago
1124	Peking University	Peking Univ
1125	Tsinghua University	Tsinghua Univ
1126	Jilin University	Jilin Univ
1127	Zhejiang University	Zhejiang Univ
1128	University of Science and Technology of China	Univ Sci & Technol China
1129	Chinese University of Hong Kong	Chinese Univ Hong Kong
1130	City University of Hong Kong	City Univ Hong Kong
1131	Hong Kong Polytechnic University	Hong Kong Polytech Univ
1132	Hong Kong University of Science and Technology	Hong Kong Univ Sci & Technol
1133	University of Hong Kong	Univ Hong Kong
1134	Shandong University	Shandong Univ
1135	Lanzhou University	Lanzhou Univ
1136	Nanjing University	Nanjing Univ
1137	Fudan University	Fudan Univ
1138	Shanghai Jiao Tong University	Shanghai Jiao Tong Univ
1139	Nankai University	Nankai Univ
1140	Huazhong University of Science and Technology	Huazhong Univ Sci & Technol
1141	Wuhan University	Wuhan Univ
1142	Lomonosov Moscow State University	Lomonosov Moscow State Univ
1143	Saint Petersburg State University	St Petersburg State Univ
1144	Nanyang Technological University	Nanyang Technol Univ
1145	National University of Singapore	Natl Univ Singapore
1146	University of Cape Town	Univ Cape Town
1147	University of the Witwatersrand	Univ Witwatersrand
1163	University of New Mexico	Univ New Mexico
1164	Iowa State University	Iowa State Univ
1165	University of Massachusetts Amherst	Univ Massachusetts Amherst
1166	University of Michigan	Univ Michigan
1167	University of Georgia, Athens	Univ Georgia - Athens
1168	Emory University	Emory Univ
1169	Georgia Institute of Technology	Georgia Inst Technol
1170	Auburn University	Auburn Univ
1172	University of Texas at Austin	Univ Texas - Austin
1173	Johns Hopkins University	Johns Hopkins Univ
1174	University of Maryland, Baltimore	Univ Maryland - Baltimore
1175	Louisiana State University	Louisiana State Univ
1176	University of California, Berkeley	Univ California - Berkeley
1177	University of Alabama, Birmingham	Univ Alabama - Birmingham
1178	Virginia Polytechnic Institute and State University	Virginia Tech
1179	Indiana University, Bloomington	Indiana Univ - Bloomington
1180	Boston University	Boston Univ
1182	Northeastern University, USA	Northeastern Univ - USA
1183	Tufts University	Tufts Univ
1184	University of Colorado, Boulder	Univ Colorado - Boulder
1185	University at Buffalo, The State University of New York	Univ Buffalo - SUNY
1186	University of Vermont	Univ Vermont
1187	Harvard University	Harvard Univ
1188	Massachusetts Institute of Technology	MIT
1189	University of North Carolina, Chapel Hill	Univ N Carolina - Chapel Hill
1190	Medical University of South Carolina	Med Univ S Carolina
1191	University of Virginia	Univ Virginia
1192	Northwestern University	Northwestern Univ
1193	University of Chicago	Univ Chicago
1194	University of Illinois, Chicago	Univ Illinois - Chicago
1195	University of Cincinnati	Univ Cincinnati
1196	Clemson University	Clemson Univ
1197	Case Western Reserve University	Case West Reserve Univ
1198	University of Maryland, College Park	Univ Maryland - College Park
1199	Texas A&M University, College Station	Texas A&M Univ - College Stn
1200	University of Missouri, Columbia	Univ Missouri - Columbia
1201	University of South Carolina, Columbia	Univ S Carolina - Columbia
1202	Ohio State University	Ohio State Univ
1203	Oregon State University	Oregon State Univ
1204	University of Texas at Dallas	Univ Texas - Dallas
1205	University of California, Davis	Univ California - Davis
1206	University of Colorado, Denver	Univ Colorado - Denver
1207	Wayne State University	Wayne State Univ
1208	Duke University	Duke Univ
1209	University of Oregon	Univ Oregon
1212	University of Arkansas, Fayetteville	Univ Arkansas - Fayetteville
1213	Colorado State University	Colorado State Univ
1214	University of Florida	Univ Florida
1215	University of Texas Medical Branch at Galveston	Univ Texas - Med Branch - Galveston
1216	Dartmouth College	Dartmouth Coll
1218	University of Hawaii, Manoa	Univ Hawaii - Manoa
1219	Baylor College of Medicine	Baylor Coll Med
1220	Rice University	Rice Univ
1221	University of Houston	Univ Houston - Houston
1222	University of Texas Health Science Center at Houston	Univ Texas - Hlth Sci Ctr - Houston
1223	Indiana University - Purdue University Indianapolis	Indiana Univ - Purdue Univ Indianapolis
1224	University of Iowa	Univ Iowa
1225	University of California, Irvine	Univ California - Irvine
1226	Cornell University	Cornell Univ
1228	University of Tennessee, Knoxville	Univ Tennessee - Knoxville
1230	Purdue University, West Lafayette	Purdue Univ - W Lafayette
1231	Michigan State University	Michigan State Univ
1232	University of Kansas	Univ Kansas
1233	University of Kentucky	Univ Kentucky
