id	University	university
18430	University of California, Merced	Univ California - Merced
18535	Zhejiang Chinese Medical University	Zhejiang Chinese Med Univ
18537	Shenyang Agricultural University	Shenyang Agr Univ
18540	Shanghai Maritime University	Shanghai Maritime Univ
18542	Chongqing University of Posts and Telecommunications	Chongqing Univ Posts & Telecommun
18546	Guangzhou University of Chinese Medicine	Guangzhou Univ Chinese Med
18555	Al-Azhar University	Al-Azhar Univ
18560	Shahid Chamran University of Ahwaz	Shahid Chamran Univ Ahwaz
18565	Ariel University	Ariel Univ
18584	Incheon National University	Incheon Natl Univ
18682	Sorbonne University	Sorbonne Univ
18685	University of the Sunshine Coast	Univ Sunshine Coast
18700	Southern University of Science and Technology	South Univ Sci & Technol China
18701	Anhui University of Science and Technology	Anhui Univ Sci & Technol
18707	Beijing Technology and Business University	Beijing Technol & Business Univ
18711	Yangtze University	Yangtze Univ
18801	University of Nigeria	Univ Nigeria
18891	Singapore University of Technology and Design	Singapore Univ Technol & Design
18894	Ton Duc Thang University	Ton Duc Thang Univ
18980	Daegu Gyeongbuk Institute of Science and Technology	Daegu Gyeongbuk Inst Sci & Technol DGIST
18988	Khalifa University of Science and Technology	Khalifa Univ Sci & Technol
19006	University of Clermont Auvergne	Univ Clermont-Auvergne
19121	Malek Ashtar University of Technology	Malek Ashtar Univ Technol
19130	Indian Institute of Technology Indore	Indian Inst Technol Indore
19131	Homi Bhabha National Institute	Homi Bhabha Natl Inst
19132	Academy of Scientific and Innovative Research	Acad Sci & Innovat Res
19133	Indian Institute of Engineering Science and Technology, Shibpur	IIEST Shibpur
19138	SRM Institute of Science and Technology	SRM Inst Sci & Technol
32912	Universidade de Lisboa	Universidade Lisboa
33166	University of Health Sciences	Univ Hlth Sci
101154	Soonchunhyang University	Soonchunhyang Univ
101177	Payame Noor University	Payame Noor Univ
