grid_id	(No column name)
grid.460511.7	1
grid.439357.f	1
grid.512320.7	89
grid.415247.1	116
grid.471712.6	19
grid.417827.f	10
grid.505853.e	47
grid.464367.4	110
grid.419521.a	37
grid.239835.6	1133
grid.442615.0	87
grid.452385.d	54
grid.418383.5	40
grid.459309.2	27
grid.428735.f	2
grid.432797.c	1
grid.442509.e	6
grid.452498.6	18
grid.459861.7	14
grid.421341.1	1
grid.436083.a	1
grid.507106.5	1
grid.469408.7	22
grid.412362.0	1013
grid.414810.8	133
grid.452707.3	96
grid.511795.e	71
grid.292569.3	8
grid.499876.d	8
grid.423310.7	4
grid.497729.6	10
grid.436846.b	4
grid.506647.6	1
grid.465880.7	1
grid.477175.7	5
grid.501431.2	28
grid.455092.f	19
grid.473719.f	7
grid.508741.f	2
grid.492079.1	8
grid.4777.3	10846
grid.441617.1	39
grid.500554.1	250
grid.254656.6	305
grid.499548.d	544
grid.417123.2	639
grid.494263.e	1
grid.499532.0	3
grid.483314.9	1
grid.468689.d	2
grid.297656.9	3
grid.472314.7	7
grid.488918.4	1
grid.441490.c	1
grid.485938.b	3
grid.501202.4	3
grid.431962.b	10
grid.423438.a	10
grid.456988.e	2
grid.437242.4	3
grid.478359.4	4
grid.444382.d	22
grid.482927.2	36
grid.420784.d	10
grid.431437.6	34
grid.411518.8	143
grid.413298.5	177
grid.444936.8	407
grid.411449.d	681
grid.411395.b	847
grid.476994.1	201
grid.470224.7	641
grid.439656.b	124
grid.504212.0	1
grid.457786.f	1
grid.450104.4	2
grid.425745.5	1
grid.457582.9	1
grid.431189.6	1
grid.460305.4	1
grid.428443.d	1
grid.452635.3	3
grid.493228.6	16
grid.452122.2	25
grid.488547.2	30
grid.443498.6	14
grid.436421.6	8
grid.280655.c	117
grid.443972.f	15
grid.423114.1	33
grid.424477.6	87
grid.475621.3	40
grid.507569.8	30
grid.425093.9	11
grid.442175.1	458
grid.6912.c	1174
grid.162107.3	7145
grid.458707.9	31
grid.428629.3	69
grid.460950.e	1
grid.483869.8	3
grid.424571.1	1
grid.461333.0	1
grid.473431.6	1
grid.498180.c	1
grid.450960.e	22
grid.511699.3	14
grid.506084.f	7
grid.446593.9	6
grid.426773.3	3
grid.451000.0	5
grid.460601.5	13
grid.443264.3	7
grid.493331.f	52
grid.281323.9	11
grid.498987.3	16
grid.420693.a	3
grid.4800.c	9418
grid.419041.9	282
grid.253556.2	700
grid.443272.4	45
grid.433441.5	8
grid.483721.b	58
grid.480837.0	1
grid.491748.7	2
grid.488235.0	1
grid.428950.2	2
grid.473864.a	2
grid.476966.c	3
grid.470500.6	3
grid.441567.5	1
grid.489241.2	11
grid.462823.9	4
grid.484606.8	3
grid.471445.7	11
grid.466800.c	34
grid.473930.a	50
grid.462604.2	4
grid.410753.4	93
grid.436865.a	9
grid.471117.5	5
grid.420762.5	34
grid.445133.4	49
grid.440737.3	103
grid.414504.0	181
grid.418203.c	44
grid.440256.1	12
grid.462496.b	451
grid.13097.3c	32427
grid.433557.3	12
grid.440681.f	289
grid.469411.f	53
grid.428428.0	160
grid.462295.e	113
grid.502978.1	98
grid.427041.4	33
grid.490675.9	8
grid.451298.3	13
grid.479098.b	1
grid.421532.3	1
grid.456318.d	5
grid.478855.3	1
grid.292528.6	1
grid.474082.d	5
grid.493171.9	10
grid.434395.c	7
grid.505779.9	6
grid.506767.5	3
grid.480326.b	1
grid.507649.9	179
grid.427145.1	221
grid.463358.f	20
grid.435173.7	82
grid.417643.3	2031
grid.8170.e	2370
grid.501574.2	1
grid.430639.b	1
grid.499908.5	1
grid.465679.f	5
grid.483563.f	2
grid.466792.8	2
grid.441107.7	7
grid.472782.c	11
grid.420623.1	11
grid.432589.1	101
grid.460246.2	8
grid.422015.0	1
grid.468896.d	119
grid.470342.6	25
grid.509302.d	2
grid.445380.e	83
grid.418302.c	157
grid.418624.d	306
grid.64939.31	25762
grid.121334.6	9722
grid.510485.d	85
grid.476781.b	1
grid.491701.a	1
grid.505030.3	14
grid.422055.4	2
grid.466913.f	10
grid.475860.8	2
grid.438648.5	1
grid.424616.3	7
grid.476047.6	190
grid.493112.c	120
grid.468809.b	10
grid.498765.1	5
grid.418731.8	20
grid.476761.5	4
grid.261709.b	98
grid.411246.4	602
grid.411339.d	3048
grid.417641.1	446
grid.57828.30	3135
grid.265107.7	3825
grid.481418.0	3
grid.494659.3	1
grid.466380.f	1
grid.421839.5	12
grid.481671.d	4
grid.511794.f	1
grid.433446.2	1
grid.502379.a	2
grid.455894.1	1
grid.457384.9	5
grid.481119.4	6
grid.508158.1	2
grid.452005.6	28
grid.459400.c	13
grid.509762.f	4
grid.421017.1	96
grid.512977.f	22
grid.431089.7	22
grid.425736.1	11
grid.425414.2	12
grid.437220.0	2
grid.442189.2	6
grid.440733.7	483
grid.426317.5	131
grid.463102.2	875
grid.452828.1	899
grid.474040.3	114
grid.453989.a	4
grid.482607.f	2
grid.468049.7	1
grid.441238.8	25
grid.503032.7	7
grid.262078.9	27
grid.500691.b	3
grid.467895.1	5
grid.498992.7	5
grid.468269.7	56
grid.432918.5	8
grid.509548.5	15
grid.445950.9	28
grid.505967.8	26
grid.481535.e	14
grid.510925.a	72
grid.418847.6	359
grid.415273.6	30
grid.438881.e	18
grid.449035.f	41
grid.420622.0	147
grid.413094.b	956
grid.418888.5	231
grid.492697.7	9
grid.413264.6	156
grid.441153.6	36
grid.488442.6	25
grid.502559.e	1
grid.447964.c	1
grid.474233.5	1
grid.436960.e	1
grid.495795.3	47
grid.492713.a	5
grid.466860.a	5
grid.422542.7	13
grid.434090.a	7
grid.455866.c	3
grid.470966.a	58
grid.449644.f	595
grid.414339.8	603
grid.494699.f	58
grid.464543.4	94
grid.470968.4	31
grid.463323.3	16
grid.447485.e	1
grid.491879.a	3
grid.448183.2	5
grid.424579.9	7
grid.440080.8	1
grid.419771.d	37
grid.424110.2	9
grid.483715.c	11
grid.491932.4	9
grid.289438.c	15
grid.509707.c	10
grid.440600.6	1232
grid.411824.a	2155
grid.465289.4	31
grid.425675.7	44
grid.511568.e	102
grid.510948.1	13
grid.486892.9	1
grid.506660.3	4
grid.443139.8	22
grid.415426.0	47
grid.443190.b	3
grid.432539.a	6
grid.467138.f	11
grid.414648.b	152
grid.440372.6	1197
grid.418846.7	601
grid.420214.1	462
grid.20191.3b	1296
grid.448637.a	880
grid.495004.c	4
grid.438606.f	1
