id	grid_id	short_name	full_name	Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos
84	grid.10267.32	Masaryk Univ	Masaryk University	Czech Republic	6036	2701	1373	381	1168	413	634.0	6036	3607.0	3046.0	45887.0	6505.0	335.0	34.8	77,276
89	grid.10979.36	Palacký Univ Olomouc	Palacký University Olomouc	Czech Republic	4386	1598	874	257	1469	188	510.0	4386	2749.0	2392.0	40403.0	5339.0	193.0	30.1	83,413
95	grid.4491.8	Charles Univ	Charles University	Czech Republic	15165	6643	2484	877	4398	763	1733.0	15165	9361.0	8426.0	123064.0	18680.0	1005.0	35.8	82,668
97	grid.6652.7	Czech Tech Univ Prague	Czech Technical University in Prague	Czech Republic	4189	385	173	903	2682	47	376.0	4189	2598.0	2315.0	22012.0	3929.0	194.0	14.2	70,266
98	grid.448072.d	Univ Chem & Technol - Prague	University of Chemistry and Technology, Prague	Czech Republic	2403	356	352	41	1648	6	181.0	2403	997.0	703.0	16123.0	1979.0	149.0	32.0	89,863
99	grid.15866.3c	Czech Univ Life Sci Prague	Czech University of Life Sciences Prague	Czech Republic	2459	228	1862	26	261	82	226.0	2459	1276.0	1094.0	12571.0	2315.0	48.0	30.3	78,229
101	grid.5117.2	Aalborg Univ	Aalborg University	Denmark	8563	3778	576	1838	1553	817	1101.0	8563	5295.0	4717.0	80943.0	11574.0	749.0	21.0	65,337
102	grid.7048.b	Aarhus Univ	Aarhus University	Denmark	16876	6525	4779	545	3047	1980	2448.0	16876	11537.0	10298.0	168449.0	24424.0	1135.0	30.5	79,577
109	grid.5254.6	Univ Copenhagen	University of Copenhagen	Denmark	30654	17487	5933	681	4431	2123	4969.0	30654	20427.0	19351.0	358666.0	48284.0	2988.0	35.6	82,32
111	grid.5170.3	Tech Univ Denmark	Technical University of Denmark	Denmark	13289	2112	3224	1231	6389	332	2022.0	13289	9135.0	9963.0	147409.0	18963.0	1963.0	23.5	79,815
