id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
975	W Pomeranian Univ Technol - Szczecin	1400	937	78	42	773	636
989	Carlos III Univ Madrid	3575	1625	311	125	2910	2031
998	Miguel Hernández Univ	2469	1152	245	98	2049	1276
1002	Univ Almería	1962	1075	165	82	1513	796
1003	Univ Jaume I	2560	1275	251	107	2048	1780
1014	Anadolu Univ	1420	856	89	53	945	373
1015	Koç Univ	2326	1069	237	84	1846	1147
1016	Başkent Univ	1421	842	50	21	881	485
1033	Eskişehir Osmangazi Univ	1600	896	98	38	1155	450
1034	Queen Mary Univ London	11281	3779	2243	627	10038	9277
1037	London Sch Econ & Polit Sci	3788	1917	683	309	2801	3306
1046	Technion - Israel Inst Technol	9627	5045	1260	504	6873	4776
1047	Weizmann Inst Sci	5720	2536	1172	502	4597	4242
1052	Univ Buenos Aires	8078	3574	673	197	6790	4183
1053	Univ Nal La Plata	4756	2028	330	91	4110	2622
1054	Univ Adelaide	14515	5877	2429	770	12516	7454
1055	Univ Queensland	28448	12403	4510	1646	24175	14013
1056	Australian Natl Univ	13722	5456	2221	706	11730	8623
1057	Monash Univ	29293	11522	4587	1550	25826	14573
1058	Univ Melbourne	32871	13592	5296	1778	28379	18780
1059	Univ Newcastle	8543	3799	1253	453	7147	4218
1060	Univ West Australia	16615	5999	2570	696	14989	9143
1061	Univ New S Wales	26040	11136	4200	1498	22095	12420
1062	Univ Sydney	30613	12972	4921	1703	26177	16388
1063	Univ Fed Minas Gerais	9497	4771	779	299	7875	4225
1064	Univ Campinas	13544	6305	1280	455	11040	6149
1065	Fed Univ Rio Grande do Sul	11580	6103	962	383	9116	4748
1066	Univ Fed Rio de Janeiro	11686	5267	974	319	9902	5540
1067	Univ São Paulo	38628	18611	3524	1242	31646	18784
1068	Simon Fraser Univ	6862	2806	912	263	5668	3885
1069	Univ Calgary	16365	7384	2452	857	13221	8247
1070	Univ Alberta	23416	11038	3285	1195	18504	10601
1071	Univ Guelph	7223	3733	838	336	5537	3494
1072	Dalhousie Univ	8528	3592	1198	358	7030	4305
1073	McMaster Univ	14993	6431	2369	779	12332	7637
