grid_id	dimensions_wos
grid.8761.8	78,118
grid.268505.c	78,104
grid.5379.8	78,072
grid.266097.c	78,067
grid.5395.a	78,059
grid.14003.36	78,045
grid.259828.c	78,023
grid.21940.3e	78,02
grid.15043.33	78,009
grid.1005.4	77,99
grid.9906.6	77,988
grid.9841.4	77,944
grid.253264.4	77,927
grid.12527.33	77,927
grid.412518.b	77,926
grid.5510.1	77,908
grid.254229.a	77,906
grid.411024.2	77,903
grid.9464.f	77,889
grid.11220.30	77,882
grid.41206.31	77,85
grid.1013.3	77,842
grid.412503.1	77,833
grid.7450.6	77,818
grid.10392.39	77,805
grid.411391.f	77,804
grid.7548.e	77,8
grid.13797.3b	77,799
grid.5515.4	77,79
grid.410445.0	77,784
grid.411301.6	77,769
grid.411947.e	77,76
grid.7256.6	77,742
grid.7400.3	77,731
grid.133342.4	77,729
grid.411994.0	77,72
grid.7942.8	77,713
grid.83440.3b	77,706
grid.36425.36	77,7
grid.205975.c	77,686
grid.266096.d	77,686
grid.5591.8	77,683
grid.17091.3e	77,682
grid.47100.32	77,68
grid.64938.30	77,677
grid.5252.0	77,663
grid.1027.4	77,649
grid.412573.6	77,616
grid.256112.3	77,613
grid.11843.3f	77,606
grid.7340.0	77,586
grid.10438.3e	77,56
grid.10776.37	77,541
grid.167436.1	77,518
grid.15895.30	77,502
grid.4777.3	77,497
grid.23856.3a	77,494
grid.46072.37	77,486
grid.21106.34	77,485
grid.1034.6	77,485
grid.9835.7	77,476
grid.8391.3	77,454
grid.5132.5	77,453
grid.10863.3c	77,449
grid.9681.6	77,414
grid.8982.b	77,403
grid.29172.3f	77,4
grid.22098.31	77,4
grid.8048.4	77,397
grid.7634.6	77,391
grid.7362.0	77,346
grid.8127.c	77,345
grid.5611.3	77,335
grid.9613.d	77,323
grid.266100.3	77,316
grid.26811.3c	77,308
grid.6862.a	77,304
grid.410367.7	77,296
grid.10267.32	77,276
grid.8273.e	77,274
grid.5606.5	77,274
grid.25152.31	77,254
grid.4280.e	77,238
grid.98622.37	77,231
grid.1001.0	77,212
grid.91354.3a	77,21
grid.4367.6	77,196
grid.412451.7	77,186
grid.412787.f	77,17
grid.410368.8	77,166
grid.47894.36	77,163
grid.265021.2	77,145
grid.6530.0	77,144
grid.267309.9	77,142
grid.5333.6	77,136
grid.26009.3d	77,126
grid.9764.c	77,105
grid.7778.f	77,1
grid.30064.31	77,089
grid.411872.9	77,038
grid.4562.5	77,031
grid.7841.a	77,013
grid.29906.34	77,011
grid.7886.1	76,92
grid.7122.6	76,917
grid.21925.3d	76,917
grid.8767.e	76,904
grid.5335.0	76,896
grid.508487.6	76,887
grid.21200.31	76,877
grid.14709.3b	76,827
grid.410701.3	76,824
grid.5386.8	76,801
grid.34429.38	76,801
grid.17089.37	76,784
grid.9486.3	76,769
grid.411963.8	76,767
grid.412504.6	76,76
grid.25073.33	76,752
grid.29980.3a	76,733
grid.10858.34	76,733
grid.263826.b	76,728
grid.5012.6	76,724
grid.24539.39	76,724
grid.10383.39	76,716
grid.10784.3a	76,709
grid.13097.3c	76,702
grid.10388.32	76,696
grid.13276.31	76,675
grid.266102.1	76,67
grid.5690.a	76,644
grid.11480.3c	76,641
grid.267308.8	76,62
grid.14848.31	76,618
grid.7311.4	76,615
grid.265892.2	76,575
grid.15876.3d	76,566
grid.5603.0	76,56
grid.265436.0	76,55
grid.4991.5	76,537
grid.5399.6	76,537
grid.17063.33	76,527
grid.5841.8	76,52
grid.411017.2	76,514
grid.8250.f	76,502
grid.506261.6	76,501
grid.5685.e	76,498
grid.411739.9	76,496
grid.59734.3c	76,48
grid.116068.8	76,473
grid.5491.9	76,462
grid.5337.2	76,451
grid.8142.f	76,44
grid.5600.3	76,432
grid.6572.6	76,425
grid.34477.33	76,416
grid.189504.1	76,405
grid.4391.f	76,398
grid.411982.7	76,391
grid.4868.2	76,35
grid.16416.34	76,349
grid.11348.3f	76,311
grid.1024.7	76,311
grid.5319.e	76,309
grid.14442.37	76,309
grid.11749.3a	76,306
grid.143640.4	76,305
grid.19006.3e	76,292
grid.40263.33	76,284
grid.170202.6	76,266
grid.1006.7	76,249
grid.6582.9	76,248
grid.28703.3e	76,243
grid.412284.9	76,219
grid.17242.32	76,211
grid.11835.3e	76,198
grid.31564.35	76,187
grid.272458.e	76,183
grid.214572.7	76,167
grid.4489.1	76,149
grid.14013.37	76,146
grid.213876.9	76,127
grid.411650.7	76,101
grid.264756.4	76,086
grid.38348.34	76,086
grid.18376.3b	76,079
grid.10025.36	76,075
grid.5640.7	76,072
grid.7372.1	76,046
grid.7759.c	76,039
grid.17635.36	76,028
grid.440588.5	76,008
grid.1014.4	76,005
grid.411958.0	75,994
grid.189967.8	75,992
grid.5216.0	75,984
grid.30760.32	75,982
grid.49746.38	75,981
