id	university	established_year
1173	Johns Hopkins Univ	1876
1174	Univ Maryland - Baltimore	1807
1175	Louisiana State Univ	1860
1176	Univ California - Berkeley	1868
1177	Univ Alabama - Birmingham	1969
1178	Virginia Tech	1872
1179	Indiana Univ - Bloomington	1820
1180	Boston Univ	1839
1182	Northeastern Univ - USA	1898
1183	Tufts Univ	1852
1184	Univ Colorado - Boulder	1876
1185	Univ Buffalo - SUNY	1846
1186	Univ Vermont	1791
1187	Harvard Univ	1636
1188	MIT	1861
1189	Univ N Carolina - Chapel Hill	1789
1190	Med Univ S Carolina	1824
1191	Univ Virginia	1819
1192	Northwestern Univ	1851
1193	Univ Chicago	1890
1194	Univ Illinois - Chicago	1858
1195	Univ Cincinnati	1819
1196	Clemson Univ	1889
1197	Case West Reserve Univ	1826
1198	Univ Maryland - College Park	1856
1199	Texas A&M Univ - College Stn	1876
1200	Univ Missouri - Columbia	1839
1201	Univ S Carolina - Columbia	1801
1202	Ohio State Univ	1870
1203	Oregon State Univ	1868
1204	Univ Texas - Dallas	1876
1205	Univ California - Davis	1905
1206	Univ Colorado - Denver	1876
1207	Wayne State Univ	1868
1208	Duke Univ	1838
1209	Univ Oregon	1876
1212	Univ Arkansas - Fayetteville	1871
1213	Colorado State Univ	1870
1214	Univ Florida	1853
1215	Univ Texas - Med Branch - Galveston	1891
1216	Dartmouth Coll	1769
1218	Univ Hawaii - Manoa	1907
1219	Baylor Coll Med	1900
1220	Rice Univ	1912
1221	Univ Houston - Houston	1927
1222	Univ Texas - Hlth Sci Ctr - Houston	1972
1223	Indiana Univ - Purdue Univ Indianapolis	1969
1224	Univ Iowa	1847
1225	Univ California - Irvine	1965
1226	Cornell Univ	1865
1228	Univ Tennessee - Knoxville	1794
1230	Purdue Univ - W Lafayette	1869
1231	Michigan State Univ	1855
1232	Univ Kansas	1865
1233	Univ Kentucky	1865
1234	Univ Nebraska - Lincoln	1869
1235	Univ Arkansas Med Sci - Little Rock	1879
1237	Univ California - Los Angeles	1919
1238	Univ South California	1880
1239	Univ Louisville	1798
1240	Texas Tech Univ	1923
1241	Univ Wisconsin - Madison	1848
1242	Kansas State Univ	1863
1243	Loyola Univ Chicago	1870
1245	Univ Miami	1925
1246	Med Coll Wisconsin	1893
1247	Univ Minnesota - Twin Cities	1851
1248	W Virginia Univ	1867
1249	Vanderbilt Univ	1873
1251	Yale Univ	1701
1253	Tulane Univ	1834
1255	Columbia Univ	1754
1258	Icahn Sch Med - Mt Sinai	1963
1260	NYU	1831
1261	Rockefeller Univ	1901
1262	Yeshiva Univ	1886
1263	Univ Delaware	1743
1265	Univ Oklahoma	1890
1266	Univ Notre Dame	1842
1269	Caltech	1891
1270	Temple Univ	1884
1271	Thomas Jefferson Univ	1825
1272	Univ Penn	1740
1274	Carnegie Mellon Univ	1900
1275	Univ Pittsburgh	1787
1276	Oregon Hlth & Sci Univ	1974
1277	Princeton Univ	1746
1278	Brown Univ	1764
1279	Brigham Young Univ	1875
1280	Washington State Univ	1890
1281	N Carolina State Univ	1887
1282	Univ Nevada - Reno	1874
1283	Virginia Commonwealth Univ	1838
1284	Univ California - Riverside	1954
1285	Univ Rochester	1850
1286	Univ Utah	1850
1287	Univ Texas - San Antonio	1969
1288	Univ California - San Diego	1960
1289	Univ California - San Francisco	1873
1290	Univ California - Santa Barbara	1891
1291	Univ California - Santa Cruz	1965
1292	Univ Washington - Seattle	1861
1293	St Louis Univ	1818
1294	Washington Univ St Louis	1853
1296	Stanford Univ	1891
1297	Oklahoma State Univ - Stillwater	1890
1298	Stony Brook Univ - SUNY	1957
1299	Univ Connecticut	1881
1300	Syracuse Univ	1870
1301	Florida State Univ	1851
1302	Univ S Florida - Tampa	1956
1303	Arizona State Univ	1885
1304	Rensselaer Polytech Inst	1824
1305	Univ Arizona	1885
1306	Univ Alabama - Tuscaloosa	1831
1307	Penn State Univ	1855
1308	Univ Illinois - Urbana-Champaign	1867
1309	George Washington Univ	1821
1310	Georgetown Univ	1789
1311	Wake Forest Univ	1834
1312	Univ Massachusetts Med Sch	1962
1315	Med Univ Graz	2004
1316	Med Univ Innsbruck	2004
1317	Med Univ Vienna	1365
1318	Brandeis Univ	1948
1335	Griffith Univ	1971
1336	RMIT Univ	1887
1337	Univ S Australia	1991
1338	Univ Technol - Sydney	1988
1339	Flinders Univ	1966
1349	Alexandria Univ	1938
1363	Univ Sains Malaysia	1969
1364	Univ Guadalajara	1792
1371	HSE Univ	1992
1373	King Abdulaziz Univ	1967
1374	King Saud Univ	1957
1375	King Fahd Univ Petrol & Minerals	1963
1379	Univ Sfax	1986
1399	Karlsruhe Inst Technol	2009
1400	Aalto Univ	2010
1407	Northwestern Polytech Univ	1938
1408	Sichuan Univ	1740
1409	Harbin Inst Technol	1920
1410	Dalian Univ Technol	1949
1411	Tianjin Univ	1895
1412	Sun Yat-sen Univ	1924
1413	Xiamen Univ	1921
1414	Beijing Normal Univ	1902
1415	China Agr Univ	1905
1416	Tongji Univ	1907
1417	Shanghai Univ	1922
1418	E China Univ Sci & Technol	1952
1419	Xi'an Jiaotong Univ	1896
1431	Univ Pretoria	1908
1432	Stellenbosch Univ	1918
1433	Univ Wollongong	1951
1434	Univ Tasmania	1890
1435	Queensland Univ Technol	1989
1436	La Trobe Univ	1964
1437	Macquarie Univ	1964
1438	Univ Sherbrooke	1954
1439	Concordia Univ	1974
1440	York Univ	1959
1441	Mem Univ Newfoundland	1925
1442	Yokohama City Univ	1882
1443	Nihon Univ	1889
1444	Juntendo Univ	1838
1451	Massey Univ	1927
1452	Univ Malaya	1949
1458	Pontificia Univ Católica Chile	1888
1459	Univ Fed São Paulo	1934
1460	Univ Fed Santa Catarina	1962
1461	Univ Estadual Paulista	1976
1462	Univ Cent Florida	1963
1463	Drexel Univ	1891
1464	Univ Albany - SUNY	1844
1465	Georgia State Univ	1913
1466	Utah State Univ	1888
1467	San Diego State Univ	1897
1468	Univ Toledo	1872
1469	Rush Univ	1972
1470	Univ Mississippi	1848
1471	Univ Wisconsin - Milwaukee	1956
1472	Univ New Hampshire	1866
1473	Mississippi State Univ	1878
1474	George Mason Univ	1957
1475	Univ Belgrade	1808
1476	Fed Univ Mato Grosso	1970
1477	Univ East Finland	2010
1479	Univ Fed Paraná	1912
1480	Univ Fed Viçosa	1922
1481	Fed Univ Pernambuco	1946
1482	Fed Univ Santa Maria	1960
1483	Univ Brasília	1961
1484	Univ Fed Ceará	1954
1485	Fed Univ São Carlos	1968
1486	Rio de Janeiro State Univ	1950
1487	State Univ Maringá	1970
1488	Univ Fed Bahia	1946
1489	Univ Fed Fluminense	1960
1490	Londrina State Univ	1970
1491	Univ Fed Uberlândia	1969
1492	Univ Fed Goiás	1960
1493	Fed Univ Paraíba	1955
1494	Fed Univ Lavras	1908
1495	Fed Univ Pelotas	1969
1497	Fed Univ Para	1957
1498	Fed Univ Rio Grande do Norte	1958
1501	Univ Free State	1904
1502	Univ KwaZulu-Natal	2004
1503	Rhodes Univ	1904
1506	Univ Johannesburg	2005
1507	North-West Univ	2004
1515	Tehran Univ Med Sci	1934
1516	Univ Tehran	1934
1517	Sharif Univ Technol	1966
1518	Shiraz Univ	1946
1519	Tarbiat Modares Univ	1982
1520	Amirkabir Univ Technol	1958
1521	Shiraz Univ Med Sci	1949
1522	Isfahan Univ Technol	1977
1523	Iran Univ Sci & Technol	1929
1524	Univ Tabriz	1946
1525	Shahid Beheshti Univ Med Sci	1961
1526	Univ Quebec Montreal	1969
1528	Ain Shams Univ	1950
1529	Cairo Univ	1908
1530	Gunma Univ	1949
1532	Univ Canterbury	1873
1533	Cent S Univ	2000
1534	Southeast Univ	1902
1535	E China Normal Univ	1951
1536	S China Univ Technol	1952
1537	Hunan Univ	976
1538	Univ Sci & Technol Beijing	1952
1539	E Carolina Univ	1907
1540	Florida Intl Univ	1965
1542	Ehime Univ	1949
1543	Kindai Univ	1925
1544	Kitasato Univ	1970
1545	Shinsu Univ	1949
1546	Tokai Univ	1942
1547	Tokyo Univ Agr & Technol	1949
1548	Tottori Univ	1949
1549	Yamagata Univ	1878
1550	Yamaguchi Univ	1894
1552	Univ Texas - Hlth Sci Ctr - San Antonio	1959
1553	Univ Texas - Southwestern Med Ctr - Dallas	1943
1555	Univ Texas - Arlington	1895
1557	Univ Texas - El Paso	1914
1577	James Cook Univ	1961
2335	Korea Univ	1905
2340	Seoul Natl Univ	1946
2347	Yonsei Univ	1885
2354	Kyungpook Natl Univ	1946
2357	Chonnam Natl Univ	1952
2361	Sungkyunkwan Univ	1398
2369	Inha Univ	1954
2371	Chungnam Natl Univ	1952
2373	Kyung Hee Univ	1949
2380	Ewha Womans Univ	1886
2383	Hanyang Univ	1939
2389	Univ Ulsan	1970
2393	Ajou Univ	1973
2395	Jeonbuk Natl Univ	1947
2397	Cath Univ Korea	1855
2404	Konkuk Univ	1946
2406	Korea Adv Inst Sci & Technol	1971
2407	Pohang Univ Sci & Technol	1986
2408	Pusan Natl Univ	1946
2415	Natl Cent Univ	1915
2416	Natl Chiao Tung Univ	1896
2417	Natl Tsing Hua Univ	1911
2418	Natl Cheng Kung Univ	1931
2420	Natl Taiwan Univ	1928
2422	Natl Yang-Ming Univ	1975
2425	Chang Gung Univ	1987
2428	Natl Sun Yat-sen Univ	1924
