id	university	grid_id
726	Süleyman Demirel Univ	grid.45978.37
727	Boğaziçi Univ	grid.11220.30
730	İstanbul Tech Univ	grid.10516.33
731	İstanbul Univ	grid.9601.e
732	Marmara Univ	grid.16477.33
735	Yıldız Tech Univ	grid.38575.3c
736	Dokuz Eylül Univ	grid.21200.31
737	Ege Univ	grid.8302.9
739	Selçuk Univ	grid.17242.32
740	Erciyes Univ	grid.411739.9
741	Kocaeli Univ	grid.411105.0
743	İnönü Univ	grid.411650.7
747	Samsun Ondokuz Mayis Univ	grid.411049.9
749	Karadeniz Tech Univ	grid.31564.35
750	Yüzüncü Yıl Univ	grid.411703.0
781	Queen's Univ Belfast	grid.4777.3
785	Univ Sussex	grid.12082.39
790	Aston Univ	grid.7273.1
793	Univ Huddersfield	grid.15751.37
794	Lancaster Univ	
796	Northumbria Univ	grid.42629.3b
797	Univ E Anglia	grid.8273.e
800	Univ Reading	grid.9435.b
802	Univ St Andrews	grid.11914.3c
807	Politecnico Bari	grid.4466.0
811	Univ Insubria	grid.18147.3b
812	Univ Perugia	grid.9027.c
813	Univ Salerno	grid.11780.3f
818	Vita-Salute San Raffaele Univ	grid.15496.3f
846	King's Coll London	grid.13097.3c
848	Bangor Univ	grid.7362.0
849	Cardiff Univ	grid.5600.3
854	Swed Univ Agr Sci	grid.6341.0
876	Martin Luther Univ Halle-Wittenberg	
877	Univ Hohenheim	grid.9464.f
878	Univ Lübeck	grid.4562.5
880	Philipps-Univ Marburg	grid.10253.35
882	Techn Univ Bergakad Freiberg	grid.6862.a
883	Univ Münster	grid.5949.1
884	Univ Rostock	grid.10493.3f
885	Ulm Univ	grid.6582.9
916	Hebrew Univ Jerusalem	grid.9619.7
920	Bar-Ilan Univ	grid.22098.31
921	Tel Aviv Univ	grid.12136.37
922	Ben-Gurion Univ Negev	grid.7489.2
924	Univ Haifa	grid.18098.38
947	Med Univ Białystok	grid.48324.39
958	Med Univ Lublin	grid.411484.c
959	Med Univ Lódz	grid.8267.b
960	Med Univ Gdansk	grid.11451.30
962	Univ Agr Kraków	grid.410701.3
963	Univ Life Sci Lublin	grid.411201.7
964	Poznań Univ Life Sci	grid.410688.3
975	W Pomeranian Univ Technol - Szczecin	grid.411391.f
989	Carlos III Univ Madrid	grid.7840.b
998	Miguel Hernández Univ	grid.26811.3c
1002	Univ Almería	grid.28020.38
1003	Univ Jaume I	grid.9612.c
1014	Anadolu Univ	grid.41206.31
1015	Koç Univ	grid.15876.3d
1016	Başkent Univ	grid.411548.d
1033	Eskişehir Osmangazi Univ	grid.164274.2
1034	Queen Mary Univ London	
1037	London Sch Econ & Polit Sci	grid.13063.37
1046	Technion - Israel Inst Technol	
1047	Weizmann Inst Sci	grid.13992.30
1052	Univ Buenos Aires	grid.7345.5
1053	Univ Nal La Plata	grid.9499.d
1054	Univ Adelaide	grid.1010.0
1055	Univ Queensland	grid.1003.2
1056	Australian Natl Univ	grid.1001.0
1057	Monash Univ	grid.1002.3
1058	Univ Melbourne	grid.1008.9
1059	Univ Newcastle	
1060	Univ West Australia	grid.1012.2
1061	Univ New S Wales	grid.1005.4
1062	Univ Sydney	grid.1013.3
1063	Univ Fed Minas Gerais	grid.8430.f
1064	Univ Campinas	
1065	Fed Univ Rio Grande do Sul	grid.8532.c
1066	Univ Fed Rio de Janeiro	
1067	Univ São Paulo	
1068	Simon Fraser Univ	grid.61971.38
1069	Univ Calgary	grid.22072.35
1070	Univ Alberta	grid.17089.37
1071	Univ Guelph	grid.34429.38
1072	Dalhousie Univ	grid.55602.34
1073	McMaster Univ	grid.25073.33
1074	Queen's Univ	
1075	West Univ	grid.39381.30
1076	McGill Univ	grid.14709.3b
1077	Univ Montréal	grid.14848.31
1078	Carleton Univ	grid.34428.39
1079	Univ Ottawa	grid.28046.38
1081	Univ Saskatchewan	grid.25152.31
1082	Univ Laval	grid.23856.3a
1083	Univ Toronto	grid.17063.33
1084	Univ British Columbia	grid.17091.3e
1085	Univ Victoria	grid.143640.4
1086	Univ Waterloo	grid.46078.3d
1087	Univ Manitoba	grid.21613.37
1088	Univ Chile	
1091	Chiba Univ	grid.136304.3
1092	Kyushu Univ	grid.177174.3
1093	Gifu Univ	grid.256342.4
1095	Hiroshima Univ	grid.257022.0
1096	Kagoshima Univ	grid.258333.c
1097	Kanazawa Univ	grid.9707.9
1098	Kobe Univ	grid.31432.37
1099	Kumamoto Univ	grid.274841.c
1100	Kyoto Univ	grid.258799.8
1101	Nagasaki Univ	grid.174567.6
1102	Nagoya Univ	grid.27476.30
1103	Niigata Univ	grid.260975.f
1104	Okayama Univ	grid.261356.5
1105	Osaka City Univ	grid.261445.0
1106	Osaka Univ	grid.136593.b
1107	Hokkaido Univ	grid.39158.36
1108	Tohoku Univ	grid.69566.3a
1110	Tokushima Univ	grid.267335.6
1111	Keio Univ	grid.26091.3c
1112	Tokyo Inst Technol	grid.32197.3e
1113	Tokyo Med & Dent Univ	grid.265073.5
1114	Univ Tokyo	grid.26999.3d
1115	Waseda Univ	grid.5290.e
1117	Mie Univ	grid.260026.0
1118	Univ Tsukuba	grid.20515.33
1121	Natl Auto Univ Mexico	
1122	Univ Auckland	grid.9654.e
1123	Univ Otago	grid.29980.3a
1124	Peking Univ	grid.11135.37
1125	Tsinghua Univ	
1126	Jilin Univ	grid.64924.3d
1127	Zhejiang Univ	grid.13402.34
1128	Univ Sci & Technol China	grid.59053.3a
1129	Chinese Univ Hong Kong	
1130	City Univ Hong Kong	grid.35030.35
1131	Hong Kong Polytech Univ	grid.16890.36
1132	Hong Kong Univ Sci & Technol	grid.24515.37
1133	Univ Hong Kong	grid.194645.b
1134	Shandong Univ	grid.27255.37
1135	Lanzhou Univ	grid.32566.34
1136	Nanjing Univ	grid.41156.37
1137	Fudan Univ	grid.8547.e
1138	Shanghai Jiao Tong Univ	grid.16821.3c
1139	Nankai Univ	grid.216938.7
1140	Huazhong Univ Sci & Technol	
1141	Wuhan Univ	grid.49470.3e
1142	Lomonosov Moscow State Univ	grid.14476.30
1143	St Petersburg State Univ	grid.15447.33
1144	Nanyang Technol Univ	
1145	Natl Univ Singapore	grid.4280.e
1146	Univ Cape Town	grid.7836.a
1147	Univ Witwatersrand	grid.11951.3d
1163	Univ New Mexico	grid.266832.b
1164	Iowa State Univ	grid.34421.30
1165	Univ Massachusetts Amherst	grid.266683.f
1166	Univ Michigan	grid.214458.e
1167	Univ Georgia - Athens	grid.213876.9
1168	Emory Univ	grid.189967.8
1169	Georgia Inst Technol	grid.213917.f
1170	Auburn Univ	grid.252546.2
1172	Univ Texas - Austin	grid.89336.37
1173	Johns Hopkins Univ	grid.21107.35
1174	Univ Maryland - Baltimore	grid.411024.2
1175	Louisiana State Univ	grid.64337.35
1176	Univ California - Berkeley	grid.47840.3f
1177	Univ Alabama - Birmingham	grid.265892.2
1178	Virginia Tech	
1179	Indiana Univ - Bloomington	grid.411377.7
1180	Boston Univ	grid.189504.1
1182	Northeastern Univ - USA	grid.261112.7
1183	Tufts Univ	grid.429997.8
1184	Univ Colorado - Boulder	
1185	Univ Buffalo - SUNY	
1186	Univ Vermont	grid.59062.38
1187	Harvard Univ	grid.38142.3c
1188	MIT	grid.116068.8
1189	Univ N Carolina - Chapel Hill	grid.10698.36
1190	Med Univ S Carolina	grid.259828.c
1191	Univ Virginia	grid.27755.32
1192	Northwestern Univ	grid.16753.36
1193	Univ Chicago	grid.170205.1
1194	Univ Illinois - Chicago	grid.185648.6
1195	Univ Cincinnati	grid.24827.3b
1196	Clemson Univ	grid.26090.3d
1197	Case West Reserve Univ	grid.67105.35
1198	Univ Maryland - College Park	grid.164295.d
1199	Texas A&M Univ - College Stn	grid.264756.4
1200	Univ Missouri - Columbia	grid.134936.a
1201	Univ S Carolina - Columbia	grid.254567.7
1202	Ohio State Univ	grid.261331.4
1203	Oregon State Univ	grid.4391.f
1204	Univ Texas - Dallas	grid.267323.1
1205	Univ California - Davis	grid.27860.3b
1206	Univ Colorado - Denver	grid.241116.1
1207	Wayne State Univ	grid.254444.7
1208	Duke Univ	grid.26009.3d
1209	Univ Oregon	grid.170202.6
