Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos	langlinks	total_views	local_views	int_views	rest_views	editors	revisions	words	unique_references	minor_edits	characters	sections	references	topic_specialisation	topic_specialisation_bio	topic_specialisation_eng	gini_production	established_year	age	Universities
Kuwait	1927.0	830.0	206.0	364.0	430.0	97.0	148.0	1927.0	1129.0	827.0	13836.0	2504.0	60.0	29.1	28.43	13.0	387093.0	202403.0	159301.0	25389.0	355.0	721.0	2919.0	44.0	211.0	27708.0	81.0	45.0	0.0	0.0	0.0	0.35	1966.0	56.0	1
Lebanon	3305.0	1990.0	296.0	285.0	419.0	315.0	388.0	3305.0	2126.0	1557.0	42346.0	5979.0	153.0	38.1	29.58	38.0	1188460.0	275725.0	683227.0	229508.0	1656.0	3485.0	12800.0	265.0	1041.0	128672.0	156.0	326.0	1.0	1.0	0.0	0.43	1866.0	156.0	1
Lithuania	3476.0	1161.0	296.0	261.0	1594.0	165.0	321.0	3476.0	2224.0	1988.0	27147.0	3631.0	183.0	37.5	31.7	47.0	959322.0	230734.0	236848.0	491740.0	1776.0	3848.0	26383.0	303.0	1575.0	260579.0	370.0	370.0	0.0	0.0	0.0	0.43	1579.0	443.0	1
Luxembourg	2410.0	479.0	158.0	648.0	622.0	503.0	375.0	2410.0	1954.0	1755.0	22281.0	3517.0	145.0	23.2	31.48	25.0	445326.0	103417.0	231322.0	110587.0	626.0	1171.0	4814.0	113.0	484.0	50140.0	121.0	138.0	0.0	0.0	0.0	0.19	2003.0	19.0	1
Malaysia	6052.17	1364.17	1096.83	701.33	2572.5	318.0	630.33	6052.17	3463.0	2490.17	52854.33	6925.33	123.5	26.3	31.57	17.0	500836.0	87170.0	285956.33	127709.67	528.17	1220.17	5766.0	117.33	316.33	55620.83	125.5	139.83	0.33	0.0	0.33	0.39	1965.17	56.83	6
Mexico	5600.67	1444.17	1547.83	432.67	1999.5	177.0	367.67	5600.67	2499.83	2397.67	30302.0	4528.0	120.0	33.63	28.2	19.67	1341086.0	958260.33	300357.83	82467.83	1444.83	3308.83	11833.0	224.33	998.83	91136.17	152.67	299.0	0.0	0.0	0.0	0.33	1914.67	107.33	6
Morocco	2243.0	356.0	293.0	296.0	1274.0	25.0	193.0	2243.0	1405.0	1003.0	18671.0	2468.0	46.0	25.8	51.75	11.0	212800.0	122925.0	71453.0	18422.0	235.0	412.0	1348.0	49.0	160.0	11271.0	55.0	59.0	1.0	0.0	1.0	0.46	1957.0	65.0	1
Netherlands	15213.77	8259.69	1779.0	740.38	2342.46	2092.77	2604.08	15213.77	9608.46	10758.77	169954.08	24108.15	1247.69	32.98	23.53	39.31	927910.77	131776.38	447745.31	348389.08	1351.46	2715.23	13072.0	210.15	1035.38	118314.69	202.38	242.38	0.69	0.62	0.08	0.5	1827.15	194.85	13
New Zealand	5333.71	2047.0	1130.43	370.14	897.71	888.71	676.57	5333.71	3491.57	2536.71	48558.71	7605.71	255.86	34.03	29.25	23.29	625380.86	458524.71	458524.71	166856.14	806.43	1789.86	6973.43	166.29	601.86	69035.86	124.71	200.29	0.14	0.14	0.0	0.3	1901.14	120.86	7
Nigeria	1603.5	744.0	361.0	70.0	241.0	188.0	131.0	1603.5	830.0	781.5	18903.0	2823.0	49.5	24.9	50.14	14.5	332517.5	299421.0	299421.0	33096.5	516.0	1034.5	4256.0	94.5	281.0	32114.0	67.5	116.0	0.5	0.5	0.0	0.37	1951.5	70.5	2
